data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
1000,1GBps,case3_hetero,7,0.004892,7.353609,204.432181,2.091793,0.858948,0.877561,3,121.219614,64.454078,5368.161090,6151.943346,174
1000,1GBps,case3_hetero,8,0.005917,7.357516,169.005066,4.738679,0.717720,0.723329,3,143.364801,25.729726,3803.597142,4498.501815,173
1000,1GBps,case3_hetero,9,0.005462,7.349546,183.090394,2.406444,0.881173,0.889815,3,98.939603,38.472393,3423.462996,4201.139413,173
1000,1GBps,case3_hetero,10,0.006766,7.355633,147.796647,5.061309,0.773810,0.765476,3,132.746568,18.921298,2598.257991,2901.070110,173
1000,1GBps,case3_hetero,11,0.006922,7.354844,144.462203,6.251887,0.937500,0.943490,3,128.865382,74.376372,4470.590166,6550.508497,173
1000,1GBps,case3_hetero,12,0.005462,7.349130,183.088728,2.469921,0.910880,0.923611,4,94.886522,35.044495,3355.642071,4194.627780,176
1000,1GBps,case3_hetero,13,0.006766,7.355156,147.794741,5.124785,0.830357,0.830357,4,128.506473,19.868161,2557.671650,2904.893158,175
1000,1GBps,case3_hetero,14,0.007079,7.351967,141.266722,6.316520,0.957933,0.962139,4,111.305003,52.787319,3303.063339,4815.108042,175
1000,1GBps,case3_hetero,15,0.008330,7.350023,120.054464,6.639149,1.000000,0.993750,4,100.465264,42.681050,2089.556636,3191.506142,175
1000,1GBps,case3_hetero,16,0.008330,7.349547,120.052558,6.702626,1.000000,1.000000,5,96.637840,39.767691,2055.176935,3185.880851,177
10000,10GBps,case1_real,1,0.017445,7.382988,57.324131,0.449219,0.762681,0.606884,1,291.448988,35.431460,2331.591903,283.451679,170
10000,10GBps,case1_real,2,0.017530,7.372755,57.043836,0.512695,0.882299,0.803832,2,230.189855,36.009302,1837.162466,309.542627,172
10000,10GBps,case1_real,3,0.017999,7.362255,55.557890,0.825195,0.677404,0.806731,2,171.717947,24.237998,1344.622595,271.043385,171
10000,10GBps,case1_real,4,0.020447,7.356116,48.906477,4.674047,0.900128,0.728426,2,136.370608,33.188427,879.816247,147.079754,172
10000,10GBps,case1_real,5,0.022530,7.356137,44.385339,2.028049,0.971774,0.945565,2,137.876329,90.421704,681.826567,251.178145,171
